model,rpm,rpd,tpm
allam-2-7b,30,7000,6000
canopylabs/orpheus-arabic-saudi,10,100,1200
canopylabs/orpheus-v1-english,10,100,1200
groq/compound,30,250,70000
groq/compound-mini,30,250,70000
llama-3.1-8b-instant,30,14400,6000
llama-3.3-70b-versatile,30,1000,12000
meta-llama/llama-4-scout-17b-16e-instruct,30,1000,30000
meta-llama/llama-prompt-guard-2-22m,30,14400,15000
meta-llama/llama-prompt-guard-2-86m,30,14400,15000
openai/gpt-oss-120b,30,1000,8000
openai/gpt-oss-20b,30,1000,8000
openai/gpt-oss-safeguard-20b,30,1000,8000
qwen/qwen3-32b,60,1000,6000
qwen/qwen3.6-27b,30,1000,8000
whisper-large-v3,20,2000,0
whisper-large-v3-turbo,20,2000,0
